total_lines_cleared,max_score,decision_latency,game_duration,apm
12,1200,7.44053002061515,0.0072383801142374676,31222.455360622924
50,5000,7.342440287272136,0.018468777338663738,35681.84227444264
137,13700,7.100745916998987,0.044865743319193525,37868.53564227407
57,5700,7.201207166462275,0.020891968409220377,37813.57431362689
110,11000,7.157233628359708,0.03695282936096191,35883.585179564805
32,3200,7.1057027524656,0.013223040103912353,36905.280190114034
94,9400,6.916874846561248,0.031178589661916098,37846.48416734968
22,2200,6.647401981139451,0.009916186332702637,40338.08831131361
22,2200,7.303583912733124,0.010041375954945883,33361.961697589424
8,800,6.145761563227727,0.005357237656911215,41439.26669252844
63,6300,7.049120882506012,0.021983150641123453,37164.82743249978
94,9400,6.976944027525006,0.030879660447438558,36690.81795535033
50,5000,7.173668543497722,0.018042484919230144,36524.90235963123
12,1200,7.188789661114033,0.007831724484761556,35752.0237777523
21,2100,7.03772192909604,0.009909804662068684,36529.47886910538
2,200,7.393984233631807,0.004214886824289958,31317.56687731154
191,19100,7.047101020812988,0.059077497323354086,36646.779198348806
49,4900,7.120971555833693,0.018389566739400228,36814.352920534344
2,200,6.971106809728286,0.00397180716196696,33234.24189975769
9,900,7.244179646174113,0.0058272361755371095,35351.23578220382
28,2800,7.133790066367702,0.011363335450490316,36168.95776690864
113,11300,7.004006447330598,0.03639892737070719,37610.99842468797
49,4900,7.078358105250767,0.018276023864746093,37043.06828499567
157,15700,7.0061767604989065,0.05003685156504313,37752.175465006636
23,2300,7.160293559233348,0.011520600318908692,35501.62219660643
79,7900,7.016655673151431,0.027052529652913413,36336.712781096096
68,6800,6.968004032246117,0.024063130219777424,37027.601640442
20,2000,6.9237079149411045,0.009395722548166912,35015.93393306269
54,5400,7.105707408425337,0.019891023635864258,35845.31460283595
79,7900,7.032889905183212,0.027112738291422526,36256.02067316768
21,2100,7.204995598903922,0.01038594643274943,32640.260778839573
86,8600,7.061481475830078,0.02936301628748576,37121.52693470213
157,15700,6.991006398984524,0.049925243854522704,37836.570323108725
0,0,7.048425674438477,0.0029530405998229982,31154.32954274803
76,7600,6.898497475518121,0.02601638634999593,37168.882218731014
26,2600,6.760718921820323,0.010870238145192465,38729.60227519891
60,6000,7.098989592072713,0.02153859535853068,35935.491015826425
63,6300,6.989176208908494,0.021673413117726643,35435.12024748212
181,18100,7.0561270939006455,0.05760769446690877,36609.69284600445
7,700,7.046851244839755,0.005197660128275553,33476.60210667307
68,6800,7.02654273764601,0.024265432357788087,36718.900651033735
32,3200,7.0210791922904345,0.013064634799957276,37352.74712781071
6,600,7.087602171786996,0.005107780297597249,33086.7794136524
143,14300,7.0433507160264615,0.046287596225738525,37007.75455363731
65,6500,7.159971820258106,0.0231667160987854,35568.269429571905
13,1300,7.046057331946589,0.007323737939198812,33999.03192429624
16,1600,6.832290918399126,0.008930476506551106,37511.99611288994
46,4600,6.934064903006648,0.017552646001180013,38398.76904910456
28,2800,7.002158806874202,0.012206236521402994,37194.10149098249
6,600,7.153361342674078,0.005155404408772786,32781.13346693387
138,13800,7.123157852574399,0.04538508653640747,36862.32918511538
28,2800,6.9837796060662525,0.011121149857838948,36956.61017554755
55,5500,7.300655769579338,0.020202688376108804,36034.808162507456
0,0,7.037571498325893,0.0033014853795369464,35438.59401140524
0,0,7.821313266096444,0.0038012345631917317,28411.82205533696
26,2600,7.019138854482899,0.010824370384216308,35383.120348364675
16,1600,6.692281136145959,0.008746878306070963,38299.37816414867
79,7900,7.074010890463124,0.027273563543955485,36042.22816045825
12,1200,7.264313331017127,0.007915119330088297,35375.33526950332
53,5300,7.151531010139279,0.019661811987559,35754.588663792674
26,2600,6.7954907814661665,0.01092621088027954,38531.1984742902
0,0,7.482808211754108,0.003636324405670166,29700.320420145752
21,2100,7.0318551290602915,0.009902934233347574,36554.822184013436
26,2600,6.823889911174774,0.010972062746683756,38370.17794372757
12,1200,7.39437616788424,0.008056096235911052,34756.28788443032
65,6500,6.899055490639004,0.022785604000091553,38357.55242636922
96,9600,7.1323296240774905,0.03240582545598348,36629.2166083623
13,1300,7.03198294485769,0.007308650016784668,34069.21927143309
27,2700,6.961251249407778,0.011781005064646403,37942.43339572118
0,0,7.193384499385439,0.003494993845621745,30901.341968110748
21,2100,7.1321448614430984,0.010280203819274903,32975.99988867836
96,9600,7.117859111940729,0.03234049876530965,36703.206360974465
76,7600,6.885496775309245,0.02596882184346517,37236.960761211325
6,600,7.539305576058322,0.0054340402285257975,31100.24823019171
